Date,Temperature,Light Intensity,Co2 Level,Predict Sucess
1/8/2021,20.48,6,8,25.15
6/12/2021,22.91,9,9,24.89
5/26/2021,22.16,6,1,25.73
10/29/2020,24.29,5,2,29.01
5/20/2021,27.87,7,7,24.58
7/2/2021,23.42,5,11,29.29
4/25/2021,27.02,6,12,25.11
9/19/2020,27.88,6,8,29.98
3/6/2021,22.99,6,8,22.25
11/16/2020,26.52,4,4,27.08
3/28/2021,25.24,2,6,25.79
1/13/2021,28.79,9,3,26.15
3/3/2021,24.99,4,4,27.96
4/28/2021,27.49,6,1,28.72
1/19/2021,26.5,7,6,22.5
4/5/2021,29.28,6,4,20.67
11/24/2020,27.6,8,2,25.67
8/8/2020,22.8,2,11,20.1
7/7/2021,25.71,9,1,27.25
8/17/2020,26.66,5,3,28.56
5/22/2021,26.65,5,9,20.95
11/13/2020,29.98,10,12,25.17
9/21/2020,22.65,2,2,22.97
7/10/2021,28.35,5,10,26.1
2/11/2021,26.9,4,1,21.91
3/21/2021,20.21,7,1,24.09
6/8/2021,21.25,5,2,23.27
10/17/2020,26.47,9,1,20.25
8/30/2020,22.43,4,12,26.33
6/20/2021,28.46,9,10,28.23
5/4/2021,26.67,1,11,26.9
4/30/2021,24.59,8,1,28.96
4/29/2021,29.16,2,11,22.63
4/11/2021,20.61,6,5,26.34
5/24/2021,20.03,5,12,20.8
5/24/2021,23.94,1,2,23.46
11/1/2020,22.41,6,10,23.25
1/18/2021,24.19,6,6,22.02
1/9/2021,22.87,10,3,21.66
6/19/2021,24.44,3,5,28.8
10/4/2020,27.87,10,2,24.52
11/21/2020,23.96,1,12,22.44
2/20/2021,26.78,4,8,29.22
12/20/2020,25.96,3,8,27.24
11/3/2020,24.81,6,9,26.84
8/1/2020,22.2,5,7,20.32
12/3/2020,28.05,9,9,26.75
7/31/2020,26.33,10,6,24.46
5/26/2021,23.0,9,3,25.92
11/16/2020,20.2,1,9,22.78
10/18/2020,26.0,3,5,25.6
7/3/2021,26.1,9,6,20.73
8/14/2020,25.32,3,12,27.78
6/12/2021,23.92,1,3,22.84
8/27/2020,26.63,2,10,21.99
5/16/2021,22.98,4,1,23.6
8/8/2020,27.75,2,5,24.86
2/28/2021,29.09,3,3,29.84
8/12/2020,24.82,4,7,29.0
12/4/2020,28.41,6,4,27.62
11/8/2020,27.19,7,10,26.31
3/18/2021,22.17,3,12,23.87
5/6/2021,28.53,7,11,26.64
9/21/2020,20.11,8,2,21.96
11/8/2020,22.32,3,11,29.18
10/12/2020,27.61,2,4,23.38
5/17/2021,22.05,2,3,20.42
9/23/2020,23.17,2,11,24.07
11/5/2020,20.63,5,5,25.61
3/20/2021,21.15,1,8,27.57
3/11/2021,23.99,1,6,27.22
9/25/2020,26.38,3,7,24.25
2/24/2021,24.64,6,9,25.64
8/8/2020,22.31,7,10,25.16
8/8/2020,28.83,9,8,25.67
1/19/2021,21.69,6,6,23.08
6/30/2021,28.88,1,3,20.11
3/13/2021,25.0,3,12,21.9
9/24/2020,24.91,6,4,28.55
7/9/2021,25.06,9,10,29.45
5/20/2021,29.03,6,1,30.0
7/14/2021,22.12,7,2,29.3
7/8/2021,21.0,5,7,29.18
9/30/2020,24.25,1,9,22.57
10/6/2020,22.21,5,5,24.92
8/31/2020,23.51,6,10,23.12
2/27/2021,24.04,5,9,25.72
9/16/2020,24.21,5,1,27.92
11/3/2020,26.01,3,10,26.8
6/5/2021,22.22,8,6,25.0
10/16/2020,20.0,5,3,29.21
1/14/2021,21.29,2,5,25.37
5/31/2021,24.07,7,1,27.26
3/9/2021,27.25,9,10,25.03
3/19/2021,23.61,10,1,21.33
7/9/2021,28.53,8,6,23.37
10/6/2020,22.21,4,5,26.17
3/25/2021,21.38,6,7,25.38
6/22/2021,26.8,3,6,29.52
3/7/2021,22.24,9,4,23.8
5/12/2021,24.12,5,10,20.8
6/12/2021,26.46,4,4,26.53
5/21/2021,28.08,8,1,26.44
4/17/2021,20.72,10,9,25.99
4/1/2021,22.47,6,2,29.64
10/29/2020,25.51,2,9,26.9
8/6/2020,27.39,2,4,21.6
2/14/2021,28.79,5,9,20.12
1/6/2021,21.7,2,12,21.72
6/20/2021,21.31,10,7,25.0
6/3/2021,25.05,1,5,22.58
4/25/2021,26.61,10,10,28.92
10/8/2020,22.21,2,7,28.73
5/23/2021,25.94,3,4,22.06
7/13/2021,20.65,7,1,21.22
9/15/2020,28.92,1,6,26.92
6/15/2021,27.63,5,9,28.41
7/27/2020,23.64,3,4,22.93
7/9/2021,20.39,5,9,24.42
6/21/2021,22.34,2,2,21.21
2/13/2021,21.16,9,2,26.77
7/15/2020,22.19,8,5,29.49
2/3/2021,29.82,3,10,20.1
1/11/2021,21.62,5,8,26.35
4/4/2021,23.4,10,8,26.89
3/16/2021,25.55,7,1,23.08
8/1/2020,23.06,1,10,23.68
7/11/2021,24.33,6,4,21.07
11/14/2020,28.54,8,12,28.72
9/23/2020,23.53,3,3,20.58
3/10/2021,21.57,5,5,23.44
2/14/2021,29.77,8,1,25.52
2/9/2021,21.38,3,1,22.64
10/29/2020,25.59,10,11,25.54
12/31/2020,26.94,9,9,24.33
11/3/2020,22.8,9,2,26.55
2/11/2021,23.24,9,1,25.39
12/20/2020,28.01,4,5,26.87
9/13/2020,22.61,9,8,26.09
12/14/2020,28.78,10,11,20.69
2/18/2021,22.4,10,7,27.59
9/17/2020,24.27,9,12,24.31
11/17/2020,23.94,6,1,20.61
6/15/2021,28.75,6,6,27.67
4/21/2021,20.63,6,4,22.79
10/29/2020,27.39,4,8,25.69
9/2/2020,26.58,6,7,26.57
1/23/2021,26.29,7,12,26.5
2/9/2021,21.94,7,4,23.2
5/14/2021,26.63,6,7,20.24
9/10/2020,20.19,6,12,20.36
5/26/2021,20.83,1,7,29.72
9/24/2020,21.65,4,6,26.7
2/3/2021,27.81,1,1,28.1
12/16/2020,22.33,2,8,23.5
11/25/2020,27.08,5,7,27.34
5/10/2021,23.11,10,5,22.92
2/25/2021,24.83,8,2,28.62
6/21/2021,24.83,9,8,24.6
9/14/2020,26.43,5,12,22.86
8/21/2020,28.72,5,8,29.57
8/18/2020,22.1,1,11,22.92
7/8/2021,23.45,4,1,20.99
4/28/2021,20.83,3,7,29.2
6/28/2021,23.95,1,8,21.63
1/16/2021,22.89,8,2,22.36
8/4/2020,20.69,3,6,29.04
11/20/2020,29.36,4,12,26.76
11/19/2020,22.5,5,2,25.72
8/21/2020,26.73,8,12,26.98
2/25/2021,24.16,9,3,29.61
4/14/2021,24.36,1,11,26.38
5/17/2021,28.95,3,2,26.21
8/9/2020,20.84,1,8,26.7
10/3/2020,21.26,4,10,27.87
10/14/2020,29.14,7,3,23.53
8/3/2020,21.57,6,11,26.85
11/2/2020,25.6,9,1,22.04
5/27/2021,29.16,9,9,20.46
10/8/2020,21.99,1,6,26.47
3/16/2021,21.07,7,8,22.62
9/25/2020,20.58,10,6,21.95
7/30/2020,22.79,8,9,23.17
9/3/2020,20.69,8,10,26.56
6/12/2021,26.52,4,4,25.67
8/1/2020,24.88,2,10,20.93
12/29/2020,27.03,7,5,27.99
10/16/2020,23.53,8,12,25.27
6/15/2021,24.14,7,6,27.92
8/15/2020,23.96,5,9,23.75
7/17/2020,26.58,2,4,24.35
5/22/2021,22.95,3,10,26.97
1/26/2021,28.25,10,11,22.51
6/11/2021,26.07,4,6,28.82
12/23/2020,23.32,6,9,21.19
7/31/2020,22.35,8,11,21.01
8/7/2020,21.67,1,1,25.08
1/27/2021,27.68,2,2,23.27
5/20/2021,21.32,10,2,21.16
11/1/2020,28.29,8,8,21.34
10/10/2020,27.77,7,2,22.87
4/3/2021,23.1,5,10,25.99
12/12/2020,29.69,3,4,20.54
3/29/2021,29.01,8,2,26.46
7/19/2020,21.75,1,3,22.87
6/24/2021,25.86,6,1,29.63
7/14/2021,23.78,9,1,24.41
1/5/2021,27.71,2,9,27.05
5/9/2021,24.79,2,4,29.55
10/22/2020,22.85,7,2,25.47
10/17/2020,29.21,3,1,26.18
12/30/2020,25.82,1,2,20.94
2/10/2021,21.53,8,3,24.64
6/17/2021,25.53,2,12,28.77
12/4/2020,29.23,5,7,27.7
2/1/2021,24.04,2,5,22.42
10/29/2020,26.83,8,4,29.79
12/27/2020,23.29,8,5,29.28
4/22/2021,22.0,10,12,21.97
10/15/2020,22.8,1,9,26.57
1/18/2021,28.26,4,10,27.16
6/11/2021,25.08,7,12,26.68
1/5/2021,29.57,10,7,27.09
7/7/2021,22.3,3,6,27.74
9/29/2020,28.69,8,8,22.26
9/17/2020,24.56,1,11,23.54
1/15/2021,21.71,10,8,28.18
10/20/2020,23.77,10,10,25.14
4/17/2021,20.72,10,1,26.81
11/18/2020,26.39,3,5,22.27
4/14/2021,20.0,5,2,23.66
2/4/2021,24.2,10,5,22.62
7/8/2021,24.91,5,8,22.72
3/27/2021,28.84,3,6,25.0
8/23/2020,26.82,7,7,22.65
6/27/2021,24.62,6,1,20.76
10/29/2020,20.68,7,4,20.03
12/31/2020,25.26,1,11,20.96
7/2/2021,23.16,6,6,27.78
6/22/2021,29.81,2,12,20.78
7/17/2020,20.18,1,7,23.81
3/12/2021,23.37,2,10,24.2
10/14/2020,23.18,7,8,25.26
10/17/2020,27.26,6,11,20.63
4/15/2021,23.12,1,10,25.39
10/9/2020,29.79,3,10,27.09
4/9/2021,26.49,7,2,22.1
9/28/2020,20.22,2,2,22.75
12/13/2020,26.73,8,7,26.35
8/9/2020,21.93,4,12,25.41
4/15/2021,23.32,8,7,29.34
5/14/2021,20.82,5,4,22.38
2/2/2021,23.01,8,12,27.61
2/25/2021,26.41,9,12,29.6
8/15/2020,21.02,7,11,23.27
8/7/2020,24.42,9,11,23.64
7/23/2020,22.17,3,8,28.3
1/3/2021,29.63,10,7,24.5
5/23/2021,28.5,5,1,25.48
6/13/2021,23.02,8,1,23.83
10/7/2020,24.29,2,10,24.57
1/29/2021,26.49,1,2,22.84
8/22/2020,20.33,4,10,24.28
10/23/2020,20.79,2,5,23.28
8/22/2020,24.64,2,8,29.99
4/23/2021,22.33,6,8,21.13
10/28/2020,25.5,3,2,29.73
9/11/2020,20.66,10,12,21.7
12/9/2020,28.1,8,3,20.91
9/17/2020,27.2,1,11,25.91
12/3/2020,20.75,10,6,20.25
12/26/2020,28.31,4,1,29.81
2/3/2021,29.54,8,1,20.58
10/21/2020,27.69,8,9,21.75
2/1/2021,27.07,4,1,20.26
3/11/2021,25.81,4,5,28.46
7/3/2021,26.17,7,3,27.72
12/29/2020,25.46,3,11,27.56
10/8/2020,24.25,5,2,21.83
12/25/2020,26.48,6,1,23.6
11/30/2020,29.03,3,2,27.58
4/26/2021,29.75,7,9,21.12
9/11/2020,27.69,3,8,20.22
9/2/2020,28.81,10,5,28.49
9/6/2020,21.1,9,3,25.62
9/10/2020,22.66,1,12,22.93
10/16/2020,24.96,1,10,26.39
5/3/2021,28.97,6,3,24.57
9/21/2020,24.35,6,4,25.87
8/8/2020,22.49,8,6,28.15
7/4/2021,28.5,3,12,29.77
1/25/2021,28.62,3,2,26.09
9/17/2020,23.42,1,9,23.68
9/29/2020,23.47,1,1,28.74
11/14/2020,27.89,7,4,26.76
12/30/2020,21.66,7,7,24.0
6/8/2021,28.71,3,2,24.91
1/30/2021,27.33,8,10,26.38
5/8/2021,27.83,1,12,24.33
1/9/2021,24.07,2,11,23.24
10/31/2020,21.07,4,6,22.01
12/21/2020,21.18,2,1,29.09
10/29/2020,28.66,3,7,23.73
6/30/2021,24.86,9,2,20.41
10/26/2020,21.9,6,4,25.8
3/2/2021,27.08,10,3,28.76
11/14/2020,25.27,9,10,29.58
10/21/2020,29.44,3,11,23.35
1/19/2021,25.22,3,6,20.84
7/1/2021,22.57,5,10,21.73
2/15/2021,24.71,6,11,23.03
10/24/2020,23.29,8,4,24.38
12/11/2020,26.74,8,10,21.54
12/12/2020,20.22,2,9,25.14
4/10/2021,23.13,6,10,20.14
11/10/2020,25.53,10,3,26.6
12/29/2020,23.46,9,8,28.28
5/22/2021,25.44,6,12,24.63
5/22/2021,29.12,1,9,28.67
4/18/2021,28.6,9,3,26.41
2/20/2021,25.98,10,11,26.77
1/9/2021,20.21,8,1,27.76
6/1/2021,26.14,5,7,25.99
8/12/2020,21.97,8,1,22.94
4/4/2021,26.13,4,11,24.33
10/7/2020,24.13,1,3,23.59
12/25/2020,22.47,5,3,28.05
1/22/2021,27.19,7,10,20.75
3/8/2021,29.94,3,2,27.88
2/25/2021,29.53,1,4,29.41
2/23/2021,27.08,5,8,27.23
9/10/2020,29.83,9,6,28.57
8/26/2020,22.45,3,6,25.48
5/13/2021,24.71,3,11,26.8
11/16/2020,21.78,10,10,25.42
8/19/2020,23.01,1,12,29.76
10/27/2020,22.95,2,8,26.37
5/20/2021,22.22,2,8,22.4
10/25/2020,22.89,4,1,21.67
10/2/2020,21.62,5,11,26.05
2/8/2021,22.81,4,5,28.91
4/18/2021,25.33,8,1,26.22
2/25/2021,26.63,10,3,27.59
8/7/2020,25.42,6,9,26.2
2/2/2021,29.37,1,8,23.68
3/21/2021,23.78,10,11,23.45
1/2/2021,24.23,2,11,22.22
10/7/2020,28.16,10,1,23.22
4/20/2021,28.86,7,5,25.95
11/24/2020,23.92,4,11,28.39
9/27/2020,23.92,5,6,21.97
1/6/2021,20.42,4,9,23.67
6/14/2021,22.77,5,2,21.52
4/22/2021,28.41,3,3,21.66
10/8/2020,23.27,9,9,24.29
11/1/2020,28.24,8,3,20.85
8/19/2020,21.44,6,12,22.13
8/29/2020,23.84,2,3,21.65
4/18/2021,27.18,6,1,22.74
1/23/2021,20.38,8,3,25.1
8/6/2020,22.27,4,12,24.55
1/20/2021,21.43,10,8,29.59
6/4/2021,21.47,1,7,21.07
11/30/2020,20.53,9,9,24.07
5/28/2021,27.93,8,3,28.14
3/6/2021,23.92,10,10,28.53
6/5/2021,29.51,6,12,20.04
10/10/2020,25.9,10,2,25.18
4/25/2021,21.17,2,7,26.02
1/4/2021,25.36,3,1,26.8
1/2/2021,28.39,2,11,23.86
2/4/2021,25.28,3,9,21.76
1/26/2021,20.88,3,5,27.69
6/19/2021,22.72,3,7,29.69
6/4/2021,24.88,7,8,21.17
1/23/2021,25.56,10,4,24.84
4/18/2021,20.99,6,2,24.57
4/11/2021,25.16,2,4,29.2
2/28/2021,20.38,9,9,29.79
1/6/2021,20.17,9,10,25.22
5/15/2021,24.6,7,3,22.23
6/9/2021,22.17,8,6,20.69
1/29/2021,25.78,3,4,24.05
2/2/2021,24.66,5,2,22.66
6/27/2021,27.81,8,11,20.33
2/26/2021,23.25,1,4,27.35
2/1/2021,25.97,1,1,20.34
2/13/2021,23.23,8,3,22.37
11/29/2020,29.49,6,8,27.32
12/12/2020,26.5,4,3,29.88
2/28/2021,28.15,10,3,21.15
2/11/2021,21.37,9,3,22.82
5/18/2021,22.53,8,9,26.3
11/23/2020,25.87,8,11,24.11
9/29/2020,26.32,4,12,24.2
12/22/2020,20.31,2,8,28.71
3/6/2021,20.24,8,5,23.16
8/26/2020,28.6,3,11,25.68
2/4/2021,24.57,2,3,24.03
7/5/2021,29.23,3,8,21.94
8/24/2020,25.24,3,3,24.5
2/25/2021,24.72,1,8,21.46
3/30/2021,22.84,4,8,27.78
2/3/2021,22.35,3,6,28.4
11/28/2020,28.36,4,6,21.83
2/19/2021,21.6,9,6,29.2
7/2/2021,25.28,1,4,21.01
4/24/2021,22.63,1,6,27.33
10/5/2020,24.33,9,8,21.45
2/20/2021,20.54,2,2,29.27
9/18/2020,26.2,1,3,26.18
8/20/2020,24.67,7,12,26.74
6/25/2021,25.81,3,3,24.95
9/11/2020,27.14,7,8,28.47
12/24/2020,24.06,4,7,23.41
3/3/2021,22.95,9,3,20.31
5/3/2021,29.76,10,5,24.05
7/3/2021,23.73,7,3,21.16
12/19/2020,26.84,7,7,20.35
5/17/2021,29.92,9,8,23.76
6/29/2021,22.35,6,7,26.77
4/16/2021,22.38,4,7,29.06
8/29/2020,26.72,1,2,22.14
6/26/2021,25.25,3,11,22.92
3/1/2021,25.18,2,10,20.8
8/24/2020,22.98,10,2,21.1
4/14/2021,23.67,10,11,20.73
9/9/2020,25.17,4,7,28.93
9/20/2020,24.08,6,9,23.79
1/9/2021,23.3,1,2,22.82
4/9/2021,27.15,8,2,20.4
8/17/2020,23.94,1,1,26.82
9/8/2020,25.22,8,4,25.81
6/28/2021,27.51,2,12,26.09
11/23/2020,24.19,5,6,24.92
5/8/2021,26.1,2,2,28.05
11/20/2020,21.85,8,12,21.41
9/2/2020,26.33,3,10,23.9
10/22/2020,22.51,8,2,26.63
7/13/2021,27.66,4,9,22.26
2/2/2021,26.66,4,7,21.75
10/15/2020,26.75,9,3,21.02
9/28/2020,27.74,4,9,27.73
2/9/2021,20.2,1,4,22.01
6/27/2021,29.63,4,4,25.89
12/3/2020,22.82,2,9,27.4
9/23/2020,25.6,7,10,29.7
5/28/2021,22.17,8,12,28.86
6/29/2021,26.18,10,7,20.22
10/30/2020,21.29,4,5,26.02
4/12/2021,28.34,4,1,27.03
2/9/2021,22.46,2,6,23.6
6/2/2021,29.88,2,1,20.5
12/11/2020,23.11,1,5,25.44
12/6/2020,20.96,3,12,26.08
2/28/2021,24.87,2,5,29.44
11/30/2020,25.42,4,2,27.7
6/28/2021,29.1,7,7,27.4
3/30/2021,25.48,9,10,20.67
5/7/2021,20.5,10,4,27.35
9/4/2020,22.54,7,3,27.78
10/6/2020,22.82,2,4,21.26
6/15/2021,25.47,3,1,25.07
9/14/2020,29.7,5,12,29.25
2/8/2021,24.53,2,3,22.46
3/17/2021,28.38,2,3,27.32
8/18/2020,25.03,8,11,28.5
5/17/2021,23.02,9,11,20.02
6/13/2021,21.48,7,6,22.9
12/22/2020,26.39,3,12,21.98
